Entity,Code,Year,Share of deaths that are registered
Afghanistan,AFG,2015,7.56
Afghanistan,AFG,2016,6.19
Afghanistan,AFG,2017,8.23
Afghanistan,AFG,2018,9.53
Albania,ALB,2015,100
Albania,ALB,2016,92.87
Albania,ALB,2017,92.71
Albania,ALB,2018,87.19
Albania,ALB,2019,84.12
Algeria,DZA,2018,91.06
Algeria,DZA,2019,91.94
American Samoa,ASM,2015,97.52
American Samoa,ASM,2016,84.85
American Samoa,ASM,2017,92.81
American Samoa,ASM,2018,88.17
American Samoa,ASM,2019,80.35
Andorra,AND,2015,57.2
Andorra,AND,2016,61.02
Andorra,AND,2017,61.76
Andorra,AND,2018,62.5
Andorra,AND,2019,54.73
Antigua and Barbuda,ATG,2015,95.52
Antigua and Barbuda,ATG,2016,96.31
Antigua and Barbuda,ATG,2017,98.79
Antigua and Barbuda,ATG,2018,98.64
Antigua and Barbuda,ATG,2019,100
Argentina,ARG,2015,100
Argentina,ARG,2016,100
Argentina,ARG,2017,99.91
Argentina,ARG,2018,98.97
Argentina,ARG,2019,98.59
Armenia,ARM,2015,99.84
Armenia,ARM,2016,100
Armenia,ARM,2017,99.05
Armenia,ARM,2018,94.14
Armenia,ARM,2019,97.53
Aruba,ABW,2015,81.81
Aruba,ABW,2016,89.36
Aruba,ABW,2017,79.71
Aruba,ABW,2018,78.88
Aruba,ABW,2019,71.35
Australia,AUS,2015,100
Australia,AUS,2016,100
Australia,AUS,2017,100
Australia,AUS,2018,98.44
Australia,AUS,2019,98.17
Austria,AUT,2015,100
Austria,AUT,2016,96.87
Austria,AUT,2017,97.82
Austria,AUT,2018,97.87
Austria,AUT,2019,97.4
Azerbaijan,AZE,2015,74.3
Azerbaijan,AZE,2016,76.27
Azerbaijan,AZE,2017,75.76
Azerbaijan,AZE,2018,77.1
Azerbaijan,AZE,2019,75.88
Bahamas,BHS,2015,90.78
Bahamas,BHS,2016,91.13
Bahamas,BHS,2017,94.52
Bahamas,BHS,2018,97
Bahamas,BHS,2019,91.98
Bahrain,BHR,2015,85.67
Bahrain,BHR,2016,84.36
Bahrain,BHR,2017,80.99
Bahrain,BHR,2018,80.93
Bahrain,BHR,2019,75.91
Bangladesh,BGD,2015,9.72
Bangladesh,BGD,2016,14.47
Bangladesh,BGD,2017,20.23
Bangladesh,BGD,2018,23.83
Barbados,BRB,2015,93.32
Barbados,BRB,2016,92.42
Barbados,BRB,2017,92.58
Barbados,BRB,2018,87.07
Barbados,BRB,2019,96.4
Belarus,BLR,2015,98
Belarus,BLR,2016,97.22
Belarus,BLR,2017,96.97
Belarus,BLR,2018,97.43
Belarus,BLR,2019,97.46
Belgium,BEL,2015,100
Belgium,BEL,2016,98.84
Belgium,BEL,2017,98.42
Belgium,BEL,2018,98.3
Belgium,BEL,2019,96.69
Belize,BLZ,2015,100
Belize,BLZ,2016,100
Belize,BLZ,2017,100
Belize,BLZ,2018,100
Belize,BLZ,2019,100
Benin,BEN,2018,0.98
Benin,BEN,2019,2.55
Bermuda,BMU,2015,93.18
Bermuda,BMU,2016,92.31
Bermuda,BMU,2017,95.06
Bermuda,BMU,2018,93.67
Bermuda,BMU,2019,92.24
Bhutan,BTN,2019,69.68
Bolivia,BOL,2015,66.14
Bolivia,BOL,2016,67.05
Bolivia,BOL,2017,64.45
Bolivia,BOL,2018,65.06
Bolivia,BOL,2019,64.79
Bosnia and Herzegovina,BIH,2015,98.95
Bosnia and Herzegovina,BIH,2016,96.53
Bosnia and Herzegovina,BIH,2017,95.32
Bosnia and Herzegovina,BIH,2018,94.17
Bosnia and Herzegovina,BIH,2019,95.53
Botswana,BWA,2015,68.25
Botswana,BWA,2016,68.48
Botswana,BWA,2017,66.28
Botswana,BWA,2018,64.69
Botswana,BWA,2019,66.76
Brazil,BRA,2015,97.06
Brazil,BRA,2016,97.57
Brazil,BRA,2017,97.75
Brazil,BRA,2018,96.33
Brazil,BRA,2019,96.99
British Virgin Islands,VGB,2015,82.32
British Virgin Islands,VGB,2016,69.82
British Virgin Islands,VGB,2017,82.61
Brunei,BRN,2015,87.25
Brunei,BRN,2016,88.17
Brunei,BRN,2017,87.92
Brunei,BRN,2018,80.32
Brunei,BRN,2019,84.55
Bulgaria,BGR,2015,97.02
Bulgaria,BGR,2016,93.73
Bulgaria,BGR,2017,94.26
Bulgaria,BGR,2018,93.17
Bulgaria,BGR,2019,93.7
Burkina Faso,BFA,2015,12.3
Burkina Faso,BFA,2016,11.85
Burkina Faso,BFA,2017,14.6
Burkina Faso,BFA,2018,14.09
Cambodia,KHM,2015,32.61
Cambodia,KHM,2016,36.98
Cambodia,KHM,2017,27.64
Cambodia,KHM,2018,35.46
Canada,CAN,2015,100
Canada,CAN,2016,100
Canada,CAN,2017,100
Canada,CAN,2018,100
Canada,CAN,2019,100
Cape Verde,CPV,2015,96.88
Cape Verde,CPV,2016,91.49
Cape Verde,CPV,2017,88.77
Cape Verde,CPV,2018,90.52
Cape Verde,CPV,2019,89.04
Cayman Islands,CYM,2015,46.07
Cayman Islands,CYM,2016,49.73
Cayman Islands,CYM,2017,57.33
Cayman Islands,CYM,2018,58.59
Cayman Islands,CYM,2019,63.26
Central African Republic,CAF,2015,3.23
Central African Republic,CAF,2016,1.48
Central African Republic,CAF,2017,2.72
Chile,CHL,2016,97.78
Chile,CHL,2017,97.74
Chile,CHL,2018,95.49
Chile,CHL,2019,95.71
China,CHN,2018,76.57
Colombia,COL,2015,97.01
Colombia,COL,2016,94.44
Colombia,COL,2017,93.84
Colombia,COL,2018,95.61
Colombia,COL,2019,95.67
